Poll	Start	End	Sample	Clinton	Sanders	Biden	O'Malley	Webb	Chafee	Spread
ABC/Wash Post	1/20	1/23	RV	73	--	11	--	--	--	Clinton +62
Quinnipiac	1/15	1/19	803 RV	65	--	8	1	--	--	Clinton +57
FOX News	12/14	12/16	412 RV	68	--	12	1	--	--	Clinton +56
PPP (D)	12/12	12/15	453 RV	66	--	10	2	--	--	Clinton +56
Quinnipiac	12/3	12/9	1095 RV	66	--	8	0	--	--	Clinton +58
McClatchy/Marist	12/3	12/5	466 RV	65	--	12	1	--	--	Clinton +53
CNN/ORC	11/18	11/20	RV	64	--	12	2	--	--	Clinton +52
Rasmussen Reports	11/7	11/8	LV	70	--	10	0	--	--	Clinton +60
PPP (D)	10/29	10/31	400 RV	67	--	12	2	--	--	Clinton +55
Quinnipiac	9/23	9/29	RV	61	--	11	0	--	--	Clinton +50
CNN/ORC	9/6	9/8	448 RV	65	--	10	2	--	--	Clinton +55
Rasmussen Reports	8/1	8/2	LV	63	--	12	1	--	--	Clinton +51
PPP (D)	7/19	7/21	418 RV	52	--	12	1	--	--	Clinton +40
McClatchy/Marist	7/15	7/18	426 RV	63	--	13	1	--	--	Clinton +50
PPP (D)	5/6	5/9	589 RV	63	--	13	2	--	--	Clinton +50
Quinnipiac	4/25	4/29	RV	65	--	13	1	--	--	Clinton +52
PPP (D)	3/27	3/30	666 RV	64	--	18	1	--	--	Clinton +46
PPP (D)	1/31	2/3	416 RV	58	--	19	1	--	--	Clinton +39
PPP (D)	1/3	1/6	400 RV	57	--	16	3	--	--	Clinton +41
PPP (D)	11/30	12/2	454 RV	61	--	12	2	--	--	Clinton +49
